model_metrics_ID,meta_data_ID,model_ID,model_ID_name,auc,logloss,mean_per_class_error,rmse,mse
82,4,5,GBM_grid_1_AutoML_20190422_184447_model_16,0.83069639,0.066020258,0.3888187,0.117980189,0.013919325
83,4,6,GBM_grid_1_AutoML_20190422_184447_model_20,0.829793944,0.072006693,0.379238662,0.119409622,0.014258658
84,4,7,GBM_grid_1_AutoML_20190422_184447_model_24,0.829336748,0.065235505,0.367531164,0.11780651,0.013878374
85,4,8,GBM_grid_1_AutoML_20190422_184447_model_11,0.82907003,0.064849034,0.37366362,0.11774386,0.013863617
86,4,9,GBM_grid_1_AutoML_20190422_184447_model_6,0.82818437,0.065534548,0.365568485,0.117894227,0.013899049
87,4,10,GBM_grid_1_AutoML_20190422_184447_model_14,0.828036307,0.065270343,0.363472584,0.117793878,0.013875398
88,4,11,GBM_grid_1_AutoML_20190422_184447_model_5,0.827520159,0.06445862,0.388935895,0.117642007,0.013839642
89,4,12,GBM_1_AutoML_20190422_184447,0.826652228,0.068455154,0.33989733,0.121978302,0.014878706
90,4,13,GBM_grid_1_AutoML_20190422_184447_model_3,0.82600859,0.065160304,0.370601645,0.11808696,0.01394453
91,4,14,StackedEnsemble_BestOfFamily_AutoML_20190422_184447,0.825690233,0.067207674,0.345892581,0.118936492,0.014145889
92,4,15,StackedEnsemble_AllModels_AutoML_20190422_184447,0.824506876,0.067125008,0.339151141,0.11891573,0.014140951
93,4,16,GBM_2_AutoML_20190422_184447,0.823099691,0.065642145,0.371434992,0.118510472,0.014044732
94,4,17,GBM_grid_1_AutoML_20190422_184447_model_2,0.822559712,0.07194985,0.364658008,0.119369368,0.014249046
95,4,18,GBM_grid_1_AutoML_20190422_184447_model_4,0.820515347,0.065832774,0.380812199,0.118715725,0.014093423
96,4,19,GBM_3_AutoML_20190422_184447,0.820267645,0.06646764,0.375344326,0.11914295,0.014195042
97,4,20,GBM_grid_1_AutoML_20190422_184447_model_8,0.816542955,0.06609321,0.360504258,0.118018168,0.013928288
98,4,21,GBM_grid_1_AutoML_20190422_184447_model_18,0.815661367,0.068404297,0.344649545,0.120293322,0.014470483
99,4,22,GBM_grid_1_AutoML_20190422_184447_model_25,0.812862289,0.066934556,0.342519579,0.11931551,0.014236191
100,4,23,GBM_grid_1_AutoML_20190422_184447_model_10,0.811588143,0.068087171,0.391852608,0.118390033,0.0140162
101,4,24,GBM_5_AutoML_20190422_184447,0.809371859,0.066353791,0.376804696,0.118269971,0.013987786
102,4,25,GBM_grid_1_AutoML_20190422_184447_model_19,0.80780043,0.068393223,0.3764391,0.119187569,0.014205677
103,4,26,GBM_4_AutoML_20190422_184447,0.804376723,0.068655706,0.381087639,0.120350097,0.014484146
104,4,27,GBM_grid_1_AutoML_20190422_184447_model_27,0.804163459,0.069938107,0.335424583,0.118923488,0.014142796
105,4,28,GBM_grid_1_AutoML_20190422_184447_model_12,0.803247156,0.068616751,0.395782981,0.120686172,0.014565152
106,4,29,GBM_grid_1_AutoML_20190422_184447_model_21,0.797426402,0.068696977,0.389642512,0.119823114,0.014357579
107,4,30,GBM_grid_1_AutoML_20190422_184447_model_23,0.793289291,0.082654554,0.345137306,0.132541919,0.01756736
108,4,31,DeepLearning_grid_1_AutoML_20190422_184447_model_6,0.788558384,0.072344753,0.359552731,0.118406636,0.014020132
109,4,32,GBM_grid_1_AutoML_20190422_184447_model_1,0.776725099,0.070855385,0.391944735,0.12021447,0.014451519
110,4,33,DeepLearning_grid_1_AutoML_20190422_184447_model_5,0.771975798,0.196656664,0.367825137,0.120987605,0.014638001
